# Functions in accton_as5610_52x_cpld.ko
# Address	Name	Size	Params
0x00010024  	_savegpr_14	4	0
0x00010028  	_save32gpr_15	4	0
0x0001002c  	_save32gpr_16	4	0
0x00010030  	_savegpr_17	4	0
0x00010034  	_save32gpr_18	4	0
0x00010038  	_save32gpr_19	4	0
0x0001003c  	_save32gpr_20	4	0
0x00010040  	_save32gpr_21	4	0
0x00010044  	_save32gpr_22	4	0
0x00010048  	_save32gpr_23	4	0
0x0001004c  	_save32gpr_24	4	0
0x00010050  	_savegpr_25	4	0
0x00010054  	_save32gpr_26	4	0
0x00010058  	_savegpr_27	4	0
0x0001005c  	_savegpr_28	4	0
0x00010060  	_savegpr_29	4	0
0x00010064  	_save32gpr_30	4	0
0x00010068  	_savegpr_31	8	0
0x00010070  	_restgpr_14	4	0
0x00010074  	_restgpr_15	4	0
0x00010078  	_restgpr_16	4	0
0x0001007c  	_rest32gpr_17	4	0
0x00010080  	_restgpr_18	4	0
0x00010084  	_restgpr_19	4	0
0x00010088  	_rest32gpr_20	4	0
0x0001008c  	_restgpr_21	4	0
0x00010090  	_restgpr_22	4	0
0x00010094  	_rest32gpr_23	4	0
0x00010098  	_restgpr_24	4	0
0x0001009c  	_restgpr_25	4	0
0x000100a0  	_restgpr_26	4	0
0x000100a4  	_rest32gpr_27	4	0
0x000100a8  	_restgpr_28	4	0
0x000100ac  	_rest32gpr_29	4	0
0x000100b0  	_rest32gpr_30	4	0
0x000100b4  	_restgpr_31	8	0
0x000100bc  	_rest32gpr_14_x	4	0
0x000100c0  	_restgpr_15_x	4	0
0x000100c4  	_rest32gpr_16_x	4	0
0x000100c8  	_restgpr_17_x	4	0
0x000100cc  	_rest32gpr_18_x	4	0
0x000100d0  	_restgpr_19_x	4	0
0x000100d4  	_rest32gpr_20_x	4	0
0x000100d8  	_rest32gpr_21_x	4	0
0x000100dc  	_rest32gpr_22_x	4	0
0x000100e0  	_restgpr_23_x	4	0
0x000100e4  	_rest32gpr_24_x	4	0
0x000100e8  	_restgpr_25_x	4	0
0x000100ec  	_rest32gpr_26_x	40	0
0x00010114  	pwm1_enable_store	8	4
0x0001011c  	accton_as5610_52x_cpld_remove	68	1
0x00010160  	pwm1_store	148	4
0x000101f4  	watch_dog_store	476	4
0x000103d0  	led_store	324	4
0x00010514  	help_show	48	3
0x00010544  	pwm1_enable_show	48	3
0x00010574  	watch_dog_show	252	3
0x00010670  	led_show	308	3
0x000107a4  	pwm1_show	24	3
0x000107bc  	system_status_show	340	3
0x00010910  	board_revision_show	116	3
0x00010984  	psu_power_show	292	3
0x00010aa8  	accton_as5610_52x_cpld_setup	8	0
0x00010ab0  	accton_as5610_52x_cpld_probe	164	1
0x00010b54  	accton_as5610_52x_cpld_init	84	0
0x00010ba8  	accton_as5610_52x_cpld_exit	16	0
0x00013000  	strcpy	1	2
0x00013004  	dev_get_drvdata	1	0
0x00013008  	platform_driver_unregister	1	0
0x0001300c  	_dev_info	1	0
0x00013010  	platform_driver_register	1	0
0x00013014  	mutex_lock	1	0
0x00013018  	strncmp	1	3
0x0001301c  	of_iomap	1	0
0x00013020  	sysfs_create_group	1	0
0x00013024  	sscanf	1	2
0x00013028  	printk	1	0
0x0001302c  	strcmp	1	2
0x00013030  	sysfs_remove_group	1	0
0x00013034  	sprintf	1	2
0x00013038  	mutex_unlock	1	0
# Total: 81 functions
