# BCM SDK Register Name Table extracted from switchd
# Table base: 11bcac14
# 36896 valid entries, 0 null/skipped, scanned 36896 slots

# reg_id  | name
# --------+----------------------
0x0000   A9JTAG_M0_IDM_IDM_INTERRUPT_STATUS
0x0001   A9JTAG_M0_IDM_IDM_RESET_STATUS
0x0002   A9JTAG_M0_IDM_IO_CONTROL_DIRECT
0x0003   A9JTAG_M0_IDM_IO_STATUS
0x0004   A9JTAG_M0_IDM_RESET_CONTROL
0x0005   A9JTAG_S0_IDM_IDM_ERROR_LOG_ADDR_LSB
0x0006   A9JTAG_S0_IDM_IDM_ERROR_LOG_COMPLETE
0x0007   A9JTAG_S0_IDM_IDM_ERROR_LOG_CONTROL
0x0008   A9JTAG_S0_IDM_IDM_ERROR_LOG_FLAGS
0x0009   A9JTAG_S0_IDM_IDM_ERROR_LOG_ID
0x000a   A9JTAG_S0_IDM_IDM_ERROR_LOG_STATUS
0x000b   A9JTAG_S0_IDM_IDM_INTERRUPT_STATUS
0x000c   A9JTAG_S0_IDM_IDM_RESET_READ_ID
0x000d   A9JTAG_S0_IDM_IDM_RESET_STATUS
0x000e   A9JTAG_S0_IDM_IDM_RESET_WRITE_ID
0x000f   A9JTAG_S0_IDM_RESET_CONTROL
0x0010   ACCEPTABLEFRAMETYPE
0x0011   ACCEPTABLEFRAMETYPETABLE_0
0x0012   ACCEPTABLEFRAMETYPETABLE_1
0x0013   ACL_GENERAL_CONFIGURATION
0x0014   ACL_RECEIVED
0x0015   ACL_TCAM_ACCESSENABLER
0x0016   ACTIONPROFILE1
0x0017   ACTIONPROFILE2
0x0018   ACTIONPROFILE3
0x0019   ACTIONPROFILEACCEPTABLEFRAMETYPES
0x001a   ACTIONPROFILEDANOTFOUNDMAP
0x001b   ACTIONPROFILEGENERAL
0x001c   ACTIONPROFILEMCRPF
0x001d   ACTIONPROFILEPBPSADROPMAP
0x001e   ACTIONPROFILESADROPMAP
0x001f   ACTIONPROFILESAMEINTERFACE
0x0020   ACTIONPROFILESANOTFOUNDMAP
0x0021   ACTIONPROFILEUCRPF
0x0022   ACTION_CONTROL_TM
0x0023   ACTIVATETIMER
0x0024   ACTIVEPUSHQUEUEID
0x0025   ACTIVEQUEUECOUNT
0x0026   AC_OPERATINGCONDITIONS1
0x0027   AC_OPERATINGCONDITIONS2
0x0028   AC_OPERATINGCONDITIONS3
0x0029   AC_OPERATINGCONDITIONS4
0x002a   ADVASTATISTICSEN
0x002b   AGER_CONFIG0
0x002c   AGER_CONFIG1
0x002d   AGER_EVENT_STATUS
0x002e   AGER_EVENT_THRESH
0x002f   AGER_STATUS
0x0030   AGER_THRESH_0
0x0031   AGER_THRESH_1
0x0032   AGER_THRESH_2
0x0033   AGER_THRESH_3
0x0034   AGER_THRESH_4
0x0035   AGER_THRESH_5
0x0036   AGER_THRESH_6
0x0037   AGER_THRESH_7
0x0038   AGER_THRESH_8
0x0039   AGER_THRESH_9
0x003a   AGER_THRESH_10
0x003b   AGER_THRESH_11
0x003c   AGER_THRESH_12
0x003d   AGER_THRESH_13
0x003e   AGER_THRESH_14
0x003f   AGER_THRESH_15
0x0040   AGINGCTRMEMDEBUG
0x0041   AGINGEXPMEMDEBUG
0x0042   AGING_CTR_ECC_CONTROL_EXT
0x0043   AGING_CTR_ECC_CONTROL_INT
0x0044   AGING_CTR_MEM_DEBUG
0x0045   AGING_DFT_CNT_EXT
0x0046   AGING_DFT_CNT_INT
0x0047   AGING_ERROR_EXT
0x0048   AGING_ERROR_INT
0x0049   AGING_ERROR_MASK_EXT
0x004a   AGING_ERROR_MASK_INT
0x004b   AGING_EXP_ECC_CONTROL_EXT
0x004c   AGING_EXP_ECC_CONTROL_INT
0x004d   AGING_EXP_MEM_DEBUG
0x004e   AGING_LMT_ECC_CONTROL_EXT
0x004f   AGING_LMT_ECC_CONTROL_INT
0x0050   ALLESADIRBRIDGES
0x0051   ALLOWED_LINKS
0x0052   ALLOWED_LINKS_FOR_REACHABILITY_MESSAGES
0x0053   ALLRBRIDGESMACCONFIG
0x0054   ALTERNATE_EMIRROR_BITMAP_PARITY_CONTROL
0x0055   ALTERNATE_EMIRROR_BITMAP_PARITY_STATUS_INTR
0x0056   ALTERNATE_EMIRROR_BITMAP_PARITY_STATUS_NACK
0x0057   AMAC_IDM0_IDM_INTERRUPT_STATUS
0x0058   AMAC_IDM0_IDM_RESET_CONTROL
0x0059   AMAC_IDM0_IDM_RESET_STATUS
0x005a   AMAC_IDM0_IO_CONTROL_DIRECT
0x005b   AMAC_IDM0_IO_STATUS
0x005c   AMAC_IDM1_IDM_INTERRUPT_STATUS
0x005d   AMAC_IDM1_IDM_RESET_CONTROL
0x005e   AMAC_IDM1_IDM_RESET_STATUS
0x005f   AMAC_IDM1_IO_CONTROL_DIRECT
0x0060   AMAC_IDM1_IO_STATUS
0x0061   ANY_RMEP_TLV_INTERFACE_DOWN_STATUS
0x0062   ANY_RMEP_TLV_INTERFACE_UP_STATUS
0x0063   ANY_RMEP_TLV_PORT_DOWN_STATUS
0x0064   ANY_RMEP_TLV_PORT_UP_STATUS
0x0065   AOPSTH
0x0066   APBV_S0_IDM_IDM_ERROR_LOG_ADDR_LSB
0x0067   APBV_S0_IDM_IDM_ERROR_LOG_COMPLETE
0x0068   APBV_S0_IDM_IDM_ERROR_LOG_CONTROL
0x0069   APBV_S0_IDM_IDM_ERROR_LOG_FLAGS
0x006a   APBV_S0_IDM_IDM_ERROR_LOG_ID
0x006b   APBV_S0_IDM_IDM_ERROR_LOG_STATUS
0x006c   APBV_S0_IDM_IDM_INTERRUPT_STATUS
0x006d   APBV_S0_IDM_IDM_RESET_CONTROL
0x006e   APBV_S0_IDM_IDM_RESET_READ_ID
0x006f   APBV_S0_IDM_IDM_RESET_STATUS
0x0070   APBV_S0_IDM_IDM_RESET_WRITE_ID
0x0071   APBW_IDM_IDM_ERROR_LOG_ADDR_LSB
0x0072   APBW_IDM_IDM_ERROR_LOG_COMPLETE
0x0073   APBW_IDM_IDM_ERROR_LOG_CONTROL
0x0074   APBW_IDM_IDM_ERROR_LOG_FLAGS
0x0075   APBW_IDM_IDM_ERROR_LOG_ID
0x0076   APBW_IDM_IDM_ERROR_LOG_STATUS
0x0077   APBW_IDM_IDM_INTERRUPT_STATUS
0x0078   APBW_IDM_IDM_IO_CONTROL_DIRECT
0x0079   APBW_IDM_IDM_IO_STATUS
0x007a   APBW_IDM_IDM_RESET_CONTROL
0x007b   APBW_IDM_IDM_RESET_READ_ID
0x007c   APBW_IDM_IDM_RESET_STATUS
0x007d   APBW_IDM_IDM_RESET_WRITE_ID
