# Functions in ledasm
# Address	Name	Size	Params
0x10000614  	_init	76	1
0x10000660  	_start	36	0
0x10000684  	deregister_tm_clones	56	0
0x100006bc  	register_tm_clones	60	0
0x100006f8  	__do_global_dtors_aux	172	0
0x100007a4  	call___do_global_dtors_aux	28	0
0x100007c0  	frame_dummy	76	0
0x1000080c  	call_frame_dummy	28	0
0x10000828  	warning	116	1
0x1000089c  	error	116	1
0x10000910  	init_tables	164	0
0x100009b4  	find_sym_idx	200	1
0x10000a7c  	add_symbol	192	1
0x10000b3c  	dump_sym_table	272	1
0x10000c4c  	dump_hex_file	220	1
0x10000d28  	dump_c_file	352	2
0x10000e88  	skip_ws	128	1
0x10000f08  	parse_comment	140	1
0x10000f94  	parse_label	400	2
0x10001124  	ishexdigit	148	1
0x100011b8  	isoctdigit	84	1
0x1000120c  	hexval	132	1
0x10001290  	parse_primop	892	1
0x1000160c  	parse_unop	184	1
0x100016c4  	parse_mulop	432	1
0x10001874  	parse_addop	256	1
0x10001974  	parse_shop	368	1
0x10001ae4  	parse_logop	256	1
0x10001be4  	parse_conexpr	68	1
0x10001c28  	parse_ss	284	4
0x10001d44  	parse_sssx	332	4
0x10001e90  	parse_sss	108	4
0x10001efc  	parse_ddd	108	4
0x10001f68  	parse_d	208	2
0x10002038  	emit	208	1
0x10002108  	parse_args	1656	3
0x10002780  	parse_mainpart	700	1
0x10002a3c  	parse_line	112	1
0x10002aac  	lower_buf	148	2
0x10002b40  	my_fopen	152	3
0x10002bd8  	my_unlink	96	2
0x10002c38  	parse_file	912	1
0x10002fc8  	help	52	0
0x10002ffc  	main	380	2
0x10003180  	__libc_csu_fini	4	0
0x10003190  	__libc_csu_init	180	0
0x10003244  	__do_global_ctors_aux	76	0
0x10003290  	call___do_global_ctors_aux	28	0
0x100032b0  	strcmp	16	2
0x100032c0  	__nldbl_fprintf	16	0
0x100032d0  	fgets	16	3
0x100032e0  	tolower	16	1
0x100032f0  	fclose	16	1
0x10003300  	fwrite	16	4
0x10003310  	strcat	16	2
0x10003320  	strcpy	16	2
0x10003330  	__nldbl_printf	16	0
0x10003340  	puts	16	1
0x10003350  	__gmon_start__	16	0
0x10003360  	exit	16	1
0x10003370  	strchr	16	2
0x10003380  	strlen	16	1
0x10003390  	__libc_start_main	16	0
0x100033a0  	fopen	16	2
0x100033b0  	strncpy	16	3
0x100033c0  	fputc	16	2
0x100033d0  	remove	16	1
0x100033e0  	__ctype_b_loc	16	0
0x10003480  	_fini	56	0
0x10017000  	strcmp	1	2
0x10017004  	__nldbl_fprintf	1	0
0x10017008  	fgets	1	3
0x1001700c  	tolower	1	1
0x10017010  	fclose	1	1
0x10017014  	fwrite	1	4
0x10017018  	strcat	1	2
0x1001701c  	strcpy	1	2
0x10017020  	__nldbl_printf	1	0
0x10017024  	puts	1	1
0x10017028  	__gmon_start__	1	0
0x1001702c  	exit	1	1
0x10017030  	strchr	1	2
0x10017034  	strlen	1	1
0x10017038  	__libc_start_main	1	0
0x1001703c  	fopen	1	2
0x10017040  	strncpy	1	3
0x10017044  	fputc	1	2
0x10017048  	remove	1	1
0x1001704c  	__ctype_b_loc	1	0
# Total: 89 functions
