# Strings in ledasm
0x10000134  	"/lib/ld.so.1"
0x100003a1  	u8"__gmon_start__"
0x100003b0  	u8"libc.so.6"
0x100003ba  	u8"_IO_stdin_used"
0x100003c9  	u8"strcpy"
0x100003d0  	u8"exit"
0x100003d5  	u8"fopen"
0x100003db  	u8"error"
0x100003e1  	u8"strncpy"
0x100003e9  	u8"puts"
0x100003ee  	u8"tolower"
0x100003f6  	u8"fgets"
0x100003fc  	u8"strlen"
0x10000403  	u8"__nldbl_printf"
0x10000412  	u8"fputc"
0x10000418  	u8"fclose"
0x1000041f  	u8"strcat"
0x10000426  	u8"remove"
0x1000042d  	u8"__ctype_b_loc"
0x1000043b  	u8"__nldbl_fprintf"
0x1000044b  	u8"fwrite"
0x10000452  	u8"strchr"
0x10000459  	u8"strcmp"
0x10000460  	u8"__libc_start_main"
0x10000472  	u8"GLIBC_2.3"
0x1000047c  	u8"GLIBC_2.1"
0x10000486  	u8"GLIBC_2.4"
0x10000490  	u8"GLIBC_2.0"
0x10003528  	"pushst"
0x10003588  	"Warning, line %d: %s\n"
0x100035a0  	"Error, line %3d: %s\n"
0x100035b8  	"Error: symbol table overflow\n"
0x100035d8  	"----- symbol table, %d symbols -----\n"
0x1000361c  	"/* %s.c -- autogenerated '%s' led program */\n\n"
0x1000364c  	"const unsigned char ledproc_%s[] = {\n"
0x1000368c  	"excessively long label"
0x100036a4  	"missing closing paren"
0x100036bc  	"badly formed hex number"
0x100036d4  	"error: expected constant expression"
0x100036f8  	"couldn't find symbol in second pass"
0x1000371c  	"division by zero"
0x10003730  	"modulus of zero"
0x10003740  	"negative shift count"
0x10003764  	"CY is not a valid argument for this opcode"
0x10003790  	"immediate destination"
0x100037a8  	"expecting either 'A' or 'B' as first arg"
0x100037d4  	"program is too long"
0x100037e8  	"value out of bounds -128 <= val <= 255"
0x10003810  	"EQU must have a label"
0x10003828  	"redefinition of EQU label"
0x10003844  	"SET must have a label"
0x1000385c  	"this op needs two args"
0x10003874  	"<op> #,(#) format is not allowed (3 bytes)"
0x100038a0  	"internal error: impossible case"
0x10003954  	"bad opcode"
0x10003960  	"standalone labels must be followed by a colon"
0x10003990  	"label already defined"
0x100039a8  	"extra garbage at end of line"
0x100039c8  	"Error opening file '%s'\n"
0x100039f0  	"Error: file %s.asm not found\n"
0x10003a1c  	"Error: could not open output file %s.lst\n"
0x10003a50  	"Error: could not open output file %s.hex\n"
0x10003a80  	"Error: could not open output file %s.c\n"
0x10003aa8  	"starting pass %d ...\n"
0x10003adc  	"Usage: ledasm <filename>"
0x10003af8  	"   This scans <filename>.asm, and produces <filename>.lst and <filename>.hex"
0x10003b48  	"How about a shorter source file name?"
0x10003b70  	"%8d errors, %d warnings\n"
0x10003ba9  	"zR"
0x10003bd1  	"zR"
0x.comment::00000000	u8"GCC: (GNU) 4.7.2"
0x.comment::00000011	u8"GCC: (Debian 4.4.7-2) 4.4.7"
0x.debug_str::00000000	"OP_ROL"
0x.shstrtab::00000001	u8".symtab"
0x.shstrtab::00000009	u8".strtab"
0x.shstrtab::00000011	u8".shstrtab"
0x.shstrtab::0000001b	u8".interp"
0x.shstrtab::00000023	u8".note.ABI-tag"
0x.shstrtab::00000031	u8".gnu.hash"
0x.shstrtab::0000003b	u8".dynsym"
0x.shstrtab::00000043	u8".dynstr"
0x.shstrtab::0000004b	u8".gnu.version"
0x.shstrtab::00000058	u8".gnu.version_r"
0x.shstrtab::00000067	u8".rela.dyn"
0x.shstrtab::00000071	u8".rela.plt"
0x.shstrtab::0000007b	u8".init"
0x.shstrtab::00000081	u8".text"
0x.shstrtab::00000087	u8".fini"
0x.shstrtab::0000008d	u8".rodata"
0x.shstrtab::00000095	u8".eh_frame_hdr"
0x.shstrtab::000000a3	u8".eh_frame"
0x.shstrtab::000000ad	u8".ctors"
0x.shstrtab::000000b4	u8".dtors"
0x.shstrtab::000000bb	u8".jcr"
0x.shstrtab::000000c0	u8".got2"
0x.shstrtab::000000c6	u8".dynamic"
0x.shstrtab::000000cf	u8".got"
0x.shstrtab::000000d4	u8".data"
0x.shstrtab::000000da	u8".sbss"
0x.shstrtab::000000e0	u8".bss"
0x.shstrtab::000000e5	u8".comment"
0x.shstrtab::000000ee	u8".debug_aranges"
0x.shstrtab::000000fd	u8".debug_info"
0x.shstrtab::00000109	u8".debug_abbrev"
0x.shstrtab::00000117	u8".debug_line"
0x.shstrtab::00000123	u8".debug_frame"
0x.shstrtab::00000130	u8".debug_str"
0x.shstrtab::0000013b	u8".debug_loc"
0x.shstrtab::00000146	u8".gnu.attributes"
0x.strtab::00000001	u8"crtstuff.c"
0x.strtab::0000000c	u8"__CTOR_LIST__"
0x.strtab::0000001a	u8"__DTOR_LIST__"
0x.strtab::00000028	u8"__JCR_LIST__"
0x.strtab::00000035	u8"deregister_tm_clones"
0x.strtab::0000004a	u8"register_tm_clones"
0x.strtab::0000005d	u8"__do_global_dtors_aux"
0x.strtab::00000073	u8"completed.6610"
0x.strtab::00000082	u8"dtor_idx.6612"
0x.strtab::00000090	u8"call___do_global_dtors_aux"
0x.strtab::000000ab	u8"frame_dummy"
0x.strtab::000000b7	u8"call_frame_dummy"
0x.strtab::000000c8	u8"__CTOR_END__"
0x.strtab::000000d5	u8"__FRAME_END__"
0x.strtab::000000e3	u8"__JCR_END__"
0x.strtab::000000ef	u8"__do_global_ctors_aux"
0x.strtab::00000105	u8"call___do_global_ctors_aux"
0x.strtab::00000120	u8"ledasm.c"
0x.strtab::00000129	u8"optable"
0x.strtab::00000131	u8"size.2854"
0x.strtab::0000013b	u8"__init_array_end"
0x.strtab::0000014c	u8"_DYNAMIC"
0x.strtab::00000155	u8"__init_array_start"
0x.strtab::00000168	u8"_GLOBAL_OFFSET_TABLE_"
0x.strtab::0000017e	u8"__libc_csu_fini"
0x.strtab::0000018e	u8"my_fopen"
0x.strtab::00000197	u8"num_labels"
0x.strtab::000001a2	u8"strcmp@@GLIBC_2.0"
0x.strtab::000001b4	u8"parse_sssx"
0x.strtab::000001bf	u8"_ITM_deregisterTMCloneTable"
0x.strtab::000001db	u8"data_start"
0x.strtab::000001e6	u8"warning"
0x.strtab::000001ee	u8"__nldbl_fprintf@@GLIBC_2.4"
0x.strtab::00000209	u8"parse_addop"
0x.strtab::00000215	u8"fgets@@GLIBC_2.0"
0x.strtab::00000226	u8"tolower@@GLIBC_2.0"
0x.strtab::00000239	u8"_edata"
0x.strtab::00000240	u8"fclose@@GLIBC_2.1"
0x.strtab::00000252	u8"error"
0x.strtab::00000258	u8"_fini"
0x.strtab::0000025e	u8"dump_c_file"
0x.strtab::0000026a	u8"parse_label"
0x.strtab::00000276	u8"dump_sym_table"
0x.strtab::00000285	u8"symtab"
0x.strtab::0000028c	u8"g_curpc"
0x.strtab::00000294	u8"g_pass"
0x.strtab::0000029b	u8"fwrite@@GLIBC_2.0"
0x.strtab::000002ad	u8"parse_ddd"
0x.strtab::000002b7	u8"strcat@@GLIBC_2.0"
0x.strtab::000002c9	u8"parse_primop"
0x.strtab::000002d6	u8"strcpy@@GLIBC_2.0"
0x.strtab::000002e8	u8"parse_unop"
0x.strtab::000002f3	u8"__DTOR_END__"
0x.strtab::00000300	u8"parse_conexpr"
0x.strtab::0000030e	u8"parse_args"
0x.strtab::00000319	u8"hexval"
0x.strtab::00000320	u8"add_symbol"
0x.strtab::0000032b	u8"__nldbl_printf@@GLIBC_2.4"
0x.strtab::00000345	u8"__data_start"
0x.strtab::00000352	u8"ishexdigit"
0x.strtab::0000035d	u8"puts@@GLIBC_2.0"
0x.strtab::0000036d	u8"parse_mainpart"
0x.strtab::0000037c	u8"parse_mulop"
0x.strtab::00000388	u8"__gmon_start__"
0x.strtab::00000397	u8"exit@@GLIBC_2.0"
0x.strtab::000003a7	u8"__dso_handle"
0x.strtab::000003b4	u8"g_program"
0x.strtab::000003be	u8"parse_comment"
0x.strtab::000003cc	u8"_IO_stdin_used"
0x.strtab::000003db	u8"strchr@@GLIBC_2.0"
0x.strtab::000003ed	u8"g_warnings"
0x.strtab::000003f8	u8"g_errs"
0x.strtab::000003ff	u8"strlen@@GLIBC_2.0"
0x.strtab::00000411	u8"__libc_start_main@@GLIBC_2.0"
0x.strtab::0000042e	u8"parse_line"
0x.strtab::00000439	u8"parse_logop"
0x.strtab::00000445	u8"__libc_csu_init"
0x.strtab::00000455	u8"_SDA_BASE_"
0x.strtab::00000460	u8"fopen@@GLIBC_2.1"
0x.strtab::00000471	u8"skip_ws"
0x.strtab::00000479	u8"_end"
0x.strtab::0000047e	u8"strncpy@@GLIBC_2.0"
0x.strtab::00000491	u8"_start"
0x.strtab::00000498	u8"parse_d"
0x.strtab::000004a0	u8"__bss_start"
0x.strtab::000004ac	u8"main"
0x.strtab::000004b1	u8"g_curline"
0x.strtab::000004bb	u8"fputc@@GLIBC_2.0"
0x.strtab::000004cc	u8"parse_file"
0x.strtab::000004d7	u8"_Jv_RegisterClasses"
0x.strtab::000004eb	u8"help"
0x.strtab::000004f0	u8"my_unlink"
0x.strtab::000004fa	u8"remove@@GLIBC_2.0"
0x.strtab::0000050c	u8"find_sym_idx"
0x.strtab::00000519	u8"emit"
0x.strtab::0000051e	u8"__TMC_END__"
0x.strtab::0000052a	u8"parse_shop"
0x.strtab::00000535	u8"_ITM_registerTMCloneTable"
0x.strtab::0000054f	u8"g_errors_enabled"
0x.strtab::00000560	u8"isoctdigit"
0x.strtab::0000056b	u8"dump_hex_file"
0x.strtab::00000579	u8"parse_sss"
0x.strtab::00000583	u8"init_tables"
0x.strtab::0000058f	u8"_init"
0x.strtab::00000595	u8"g_warnings_enabled"
0x.strtab::000005a8	u8"__ctype_b_loc@@GLIBC_2.3"
0x.strtab::000005c1	u8"lower_buf"
0x.strtab::000005cb	u8"parse_ss"
# Total: 217 strings
