# Functions in linux-bde-tmon.ko
# Address	Name	Size	Params
0x00010024  	_savegpr_14	4	0
0x00010028  	_save32gpr_15	4	0
0x0001002c  	_save32gpr_16	4	0
0x00010030  	_savegpr_17	4	0
0x00010034  	_save32gpr_18	4	0
0x00010038  	_save32gpr_19	4	0
0x0001003c  	_save32gpr_20	4	0
0x00010040  	_save32gpr_21	4	0
0x00010044  	_save32gpr_22	4	0
0x00010048  	_save32gpr_23	4	0
0x0001004c  	_save32gpr_24	4	0
0x00010050  	_savegpr_25	4	0
0x00010054  	_save32gpr_26	4	0
0x00010058  	_savegpr_27	4	0
0x0001005c  	_savegpr_28	4	0
0x00010060  	_savegpr_29	4	0
0x00010064  	_save32gpr_30	4	0
0x00010068  	_savegpr_31	8	0
0x00010070  	_restgpr_14	4	0
0x00010074  	_restgpr_15	4	0
0x00010078  	_restgpr_16	4	0
0x0001007c  	_rest32gpr_17	4	0
0x00010080  	_restgpr_18	4	0
0x00010084  	_restgpr_19	4	0
0x00010088  	_rest32gpr_20	4	0
0x0001008c  	_restgpr_21	4	0
0x00010090  	_restgpr_22	4	0
0x00010094  	_rest32gpr_23	4	0
0x00010098  	_restgpr_24	4	0
0x0001009c  	_restgpr_25	4	0
0x000100a0  	_restgpr_26	4	0
0x000100a4  	_rest32gpr_27	4	0
0x000100a8  	_restgpr_28	4	0
0x000100ac  	_rest32gpr_29	4	0
0x000100b0  	_rest32gpr_30	4	0
0x000100b4  	_restgpr_31	8	0
0x000100bc  	_rest32gpr_14_x	4	0
0x000100c0  	_restgpr_15_x	4	0
0x000100c4  	_rest32gpr_16_x	4	0
0x000100c8  	_restgpr_17_x	4	0
0x000100cc  	_rest32gpr_18_x	4	0
0x000100d0  	_restgpr_19_x	68	0
0x00010114  	get_tmon_idx	84	1
0x00010168  	tmon_set	212	4
0x0001023c  	tmon_get	192	3
0x000102fc  	name	24	3
0x00010314  	trident_tmon_enable	156	1
0x000103b0  	tmon_show	528	3
0x000105c0  	tmon_probe	512	0
0x000107c0  	tmon_remove	140	0
0x00012000  	linux_bde_create	1	0
0x00012004  	hwmon_device_register	1	0
0x00012008  	dev_warn	1	0
0x0001200c  	lkbde_get_hw_dev	1	0
0x00012010  	_dev_info	1	0
0x00012014  	sysfs_create_group	1	0
0x00012018  	dev_err	1	0
0x0001201c  	strcmp	1	2
0x00012020  	sysfs_remove_group	1	0
0x00012024  	sprintf	1	2
0x00012028  	lkbde_get_dev_virt	1	0
0x0001202c  	simple_strtoul	1	0
0x00012030  	hwmon_device_unregister	1	0
0x00012034  	lkbde_get_dev_phys	1	0
# Total: 64 functions
