# Functions in linux-kernel-bde.ko
# Address	Name	Size	Params
0x000101c8  	_savegpr_14	4	0
0x000101cc  	_save32gpr_15	4	0
0x000101d0  	_save32gpr_16	4	0
0x000101d4  	_savegpr_17	4	0
0x000101d8  	_save32gpr_18	4	0
0x000101dc  	_save32gpr_19	4	0
0x000101e0  	_save32gpr_20	4	0
0x000101e4  	_save32gpr_21	4	0
0x000101e8  	_save32gpr_22	4	0
0x000101ec  	_save32gpr_23	4	0
0x000101f0  	_save32gpr_24	4	0
0x000101f4  	_savegpr_25	4	0
0x000101f8  	_save32gpr_26	4	0
0x000101fc  	_savegpr_27	4	0
0x00010200  	_savegpr_28	4	0
0x00010204  	_savegpr_29	4	0
0x00010208  	_save32gpr_30	4	0
0x0001020c  	_savegpr_31	8	0
0x00010214  	_restgpr_14	4	0
0x00010218  	_restgpr_15	4	0
0x0001021c  	_restgpr_16	4	0
0x00010220  	_rest32gpr_17	4	0
0x00010224  	_restgpr_18	4	0
0x00010228  	_restgpr_19	4	0
0x0001022c  	_rest32gpr_20	4	0
0x00010230  	_restgpr_21	4	0
0x00010234  	_restgpr_22	4	0
0x00010238  	_rest32gpr_23	4	0
0x0001023c  	_restgpr_24	4	0
0x00010240  	_restgpr_25	4	0
0x00010244  	_restgpr_26	4	0
0x00010248  	_rest32gpr_27	4	0
0x0001024c  	_restgpr_28	4	0
0x00010250  	_rest32gpr_29	4	0
0x00010254  	_rest32gpr_30	4	0
0x00010258  	_restgpr_31	8	0
0x00010260  	_rest32gpr_14_x	4	0
0x00010264  	_restgpr_15_x	4	0
0x00010268  	_rest32gpr_16_x	4	0
0x0001026c  	_restgpr_17_x	4	0
0x00010270  	_rest32gpr_18_x	4	0
0x00010274  	_restgpr_19_x	4	0
0x00010278  	_rest32gpr_20_x	4	0
0x0001027c  	_rest32gpr_21_x	4	0
0x00010280  	_rest32gpr_22_x	4	0
0x00010284  	_restgpr_23_x	4	0
0x00010288  	_rest32gpr_24_x	4	0
0x0001028c  	_restgpr_25_x	4	0
0x00010290  	_rest32gpr_26_x	4	0
0x00010294  	_rest32gpr_27_x	4	0
0x00010298  	_rest32gpr_28_x	4	0
