# Functions in linux-user-bde.ko
# Address	Name	Size	Params
0x00010024  	_savegpr_14	4	0
0x00010028  	_save32gpr_15	4	0
0x0001002c  	_save32gpr_16	4	0
0x00010030  	_savegpr_17	4	0
0x00010034  	_save32gpr_18	4	0
0x00010038  	_save32gpr_19	4	0
0x0001003c  	_save32gpr_20	4	0
0x00010040  	_save32gpr_21	4	0
0x00010044  	_save32gpr_22	4	0
0x00010048  	_save32gpr_23	4	0
0x0001004c  	_save32gpr_24	4	0
0x00010050  	_savegpr_25	4	0
0x00010054  	_save32gpr_26	4	0
0x00010058  	_savegpr_27	4	0
0x0001005c  	_savegpr_28	4	0
0x00010060  	_savegpr_29	4	0
0x00010064  	_save32gpr_30	4	0
0x00010068  	_savegpr_31	8	0
0x00010090  	_restgpr_22	4	0
0x00010094  	_rest32gpr_23	4	0
0x00010098  	_restgpr_24	4	0
0x0001009c  	_restgpr_25	4	0
0x000100a0  	_restgpr_26	4	0
0x000100a4  	_rest32gpr_27	4	0
0x000100a8  	_restgpr_28	4	0
0x000100ac  	_rest32gpr_29	4	0
0x000100b0  	_rest32gpr_30	4	0
0x000100b4  	_restgpr_31	8	0
0x000100bc  	_rest32gpr_14_x	4	0
0x000100c0  	_restgpr_15_x	4	0
0x000100c4  	_rest32gpr_16_x	4	0
0x000100c8  	_restgpr_17_x	4	0
0x000100cc  	_rest32gpr_18_x	4	0
0x000100d0  	_restgpr_19_x	4	0
0x000100d4  	_rest32gpr_20_x	4	0
0x000100d8  	_rest32gpr_21_x	4	0
0x000100dc  	_rest32gpr_22_x	4	0
0x000100e0  	_restgpr_23_x	4	0
0x000100e4  	_rest32gpr_24_x	4	0
0x000100e8  	_restgpr_25_x	4	0
0x000100ec  	_rest32gpr_26_x	4	0
0x000100f0  	_rest32gpr_27_x	4	0
0x000100f4  	_rest32gpr_28_x	4	0
0x000100f8  	_restgpr_29_x	4	0
0x000100fc  	_restgpr_30_x	4	0
0x00010100  	_restgpr_31_x	20	0
0x00010114  	_intr_mode_str	92	1
0x00010170  	_ioctl	1660	2
0x000107ec  	_ether_interrupt	56	1
0x00010824  	_bm9600_interrupt	216	1
0x000108fc  	_bme3200_interrupt	104	1
0x00010964  	_fe2kxt_interrupt	104	1
0x000109cc  	_fe2k_interrupt	104	1
0x00010a34  	_qe2k_interrupt	56	1
0x00010a6c  	_cmicm_interrupt	324	1
0x00010bb0  	_pprint	224	0
0x00010c90  	_bcm88750_interrupt	180	1
0x00010d44  	_cmic_interrupt	256	1
0x00010e44  	_cleanup	212	0
0x00010f18  	_init	756	0
0x0001120c  	gmodule_get	20	0
0x00011220  	_gmodule_pprint	84	1
0x00011274  	_gmodule_read_proc	12	6
0x00011280  	_gmodule_open	68	2
0x000112c4  	_gmodule_release	68	2
0x00011308  	_gmodule_unlocked_ioctl	44	3
0x00011334  	_gmodule_compat_ioctl	44	3
0x00011360  	gvprintk	144	2
0x000113f0  	gprintk	96	1
0x00011450  	gdbg	132	1
0x000114d4  	_gmodule_write_proc	88	4
0x0001152c  	gmodule_vpprintf	72	3
0x00011574  	gmodule_pprintf	92	2
0x000115d0  	pprintf	112	1
0x00011640  	sal_sem_create	160	3
0x000116e0  	sal_sem_destroy	12	1
0x000116ec  	sal_sem_give	92	1
0x00011748  	sal_time_usecs	76	0
0x00011794  	sal_usleep	152	1
0x0001182c  	_sal_sem_take	548	2
0x00011a50  	sal_sem_take	72	2
0x00011a98  	sal_udelay	392	1
0x00011c20  	_gmodule_create_proc	96	0
0x00011c80  	_gmodule_remove_proc	20	0
0x00011c94  	cleanup_module	124	0
0x00011d10  	init_module	252	0
0x00013000  	linux_bde_create	1	0
0x00013004  	yield	1	0
0x00013008  	vsprintf	1	3
0x0001300c  	finish_wait	1	0
0x00013010  	lkbde_get_dma_info	1	0
0x00013014  	up	1	0
0x00013018  	lkbde_get_dev_phys_hi	1	0
0x0001301c  	interruptible_sleep_on_timeout	1	0
0x00013020  	prepare_to_wait	1	0
0x00013024  	kfree	1	0
0x00013028  	do_gettimeofday	1	0
0x0001302c  	__wake_up	1	0
0x00013030  	kmem_cache_alloc_trace	1	0
0x00013034  	create_proc_entry	1	0
0x00013038  	lkbde_irq_imask_get	1	0
0x0001303c  	schedule_timeout	1	0
0x00013040  	schedule	1	0
0x00013044  	printk	1	0
0x00013048  	__copy_tofrom_user	1	0
0x0001304c  	down_trylock	1	0
0x00013050  	linux_bde_destroy	1	0
0x00013054  	memset	1	3
0x00013058  	__init_waitqueue_head	1	0
0x00013060  	sprintf	1	2
0x00013064  	lkbde_irq_mask_set	1	0
0x00013068  	lkbde_get_dev_virt	1	0
0x0001306c  	__register_chrdev	1	0
0x00013070  	remove_proc_entry	1	0
0x00013074  	down_interruptible	1	0
0x00013078  	lkbde_get_dev_phys	1	0
0x00013080  	strlen	1	1
0x00013084  	lkbde_get_dev_resource	1	0
0x0001308c  	__unregister_chrdev	1	0
# Total: 119 functions
