# Block-id-related strings

  @ 1132c728  ""GPORT type string""
  @ 1132c73c  ""GPORT val string""
  @ 1132c7d0  ""%smac=%02x:%02x:%02x:%02x:%02x:%02x vlan=%d GPORT=0x%x""
  @ 1132c808  ""Unknown GPORT 0x%x \n""
  @ 1132c82c  ""Unknown GPORT format \n""
  @ 11333ac8  ""MplsPWControlWordToCpu""
  @ 11333ae0  ""MplsPWControlTypeToCpu""
  @ 11333af8  ""MplsPWControlWord""
  @ 11333b0c  ""MplsPWCountPktsAll""
  @ 11333bf4  ""TrunkHashMPLSPWControlWord""
  @ 11338224  ""GPORT""
  @ 1133822c  ""Get a GPORT id""
  @ 1133866c  ""Manage XGS4 Mac-in-MAC""
  @ 11338740  ""Manage XGS4 MPLS""
  @ 113388b0  ""R/W PCIE core registers""
  @ 113391c8  ""Manage XGS4 WLAN""
  @ 1133cc14  ""XGS Hercules BCM5670_P8_00 Platform""
  @ 1133cc38  ""XGS Firebolt BCM56504P24_00 Platform""
  @ 1133cc60  ""XGS Goldwing BCM56580K16 Platform""
  @ 1133cc84  ""XGS Bradley BCM56800K20C Platform""
  @ 1133cca8  ""XGS Bradley BCM56800K20 Platform""
  @ 1133cccc  ""XGS raptor BCM56218k48 Platform""
  @ 1133ccec  ""XGS Raven BCM56224k24 Platform""
  @ 1133cd0c  ""XGS Triumph Platform""
  @ 1133cd24  ""XGS Scorpion Platform""
  @ 1133cd3c  ""XGS Apollo Platform""
  @ 1133cd64  ""XGS Trident Platform""
  @ 1133cd7c  ""XGS Titan Platform""
  @ 1133cd90  ""XGS Hurricane Platform""
  @ 1133cdb8  ""XGS Katana / Hurricane2 / Helix4 Platform""
  @ 1133cde4  ""XGS Enduro-2 Platform""
  @ 1133cdfc  ""XGS Stardust-2 Platform""
  @ 1133ce14  ""XGS Triumph3 Legacy Platform""
  @ 1133ce34  ""XGS Triumph3 Platform""
  @ 1133f4b0  "" STOP Requested.""
  @ 11341d94  "" Unable to Parse GPORT !!! \n""
  @ 11350428  "" Added/Attached GPORT %d (0x%08x) to port %s.\n""
  @ 11350758  "" Discard configuration GPORT=%d (%08x), COSQ %d\n""
  @ 1135497c  ""ERROR: unknown CMIC register name: %s\n""
  @ 1135b890  ""SRC_GPORT""
  @ 1135c7ec  ""Command only valid for XGS switches\n""
  @ 1135cf7c  ""Mcast bitmap operations only valid on XGS fabric devices\n""
  @ 1135d0bc  ""Non-bitmap mcast operations only valid on XGS switch devices\n\n""
  @ 1135e094  ""Command only valid for XGS switches\n""
  @ 1135f1d4  ""Command only valid for XGS2 switches\n""
  @ 11361704  ""GPORT 0x%08X""
  @ 11363570  ""Bad GPORT   ""
  @ 1136446c  ""PCI Memory space (CMIC)""
  @ 11367b38  ""     CMIC ==> %s\n""
  @ 1136c69c  ""MplsPWControlWordToCpu""
  @ 1136c6b4  ""MplsPWControlTypeToCpu""
  @ 1136c6cc  ""MplsPWControlWord""
  @ 1136c6e0  ""MplsPWCountPktsAll""
  @ 1136c7c8  ""TrunkHashMPLSPWControlWord""
  @ 11372808  ""XGS L2 Ins/Lookup/Del""
  @ 11372820  ""XGS L2 Overflow Ins""
  @ 11372834  ""XGS L2 Hashing""
  @ 11372844  ""XGS L2 Delete by Port""
  @ 1137285c  ""XGS L2 Delete by VLAN""
  @ 113793d4  ""CMIC PCI S-Channel Buffer test failed\n""
  @ 113b6b50  ""MESH_TOPOLOGY""
  @ 113c01b4  ""UNIT %d ERROR interrupt: CMIC_DMA_STAT = 0x%08x PCI %s Error on %s\n""
