# Interesting strings from switchd
0x11318464    "/var/run/switchd.restart"
0x11318480    "/etc/cumulus/.license.txt"
0x113184e8    "Switchd version"
0x113189b8    "Maximum number of routes supported in switchd"
0x11318aa0    "switchd.c"
0x11318b88    "Switchd parity restart test"
0x11318ba4    "write '1' to trigger switchd restart with error type parity\n"
0x11318be4    "Switchd hardware error restart test"
0x11318c08    "write '1' to trigger switchd restart with hardware error\n"
0x11318c74    "Switchd stop repeated neighbor updates"
0x11318ccc    "Switchd update neighbors"
0x11318d08    "Switchd start regular neighbor updates"
0x113190f0    "/etc/cumulus/switchd.conf"
0x11319434    "%s %s:%d SIGTERM received. Switchd terminating.\n"
0x11319468    "/var/run/switchd.ready"
0x113195c8    "%s %s:%d No switchd restart: restart trigger has been disabled for hardware errors\n"
0x1131961c    "%s %s:%d No switchd restart: restart trigger has been disabled for parity errors\n"
0x11319670    "%s %s:%d No switchd restart: error type %d not recognized\n"
0x113196ac    "%s %s:%d Triggering switchd restart\n"
0x1131970c    "%s %s:%d Switchd exiting.\n"
0x113197ac    "    -V: Display switchd version information.\n"
0x113197dc    "See switchd man page for switchd configuration\n"
0x11319810    " Cumulus Networks switchd version %s\n"
0x1131988c    "/var/run/switchd.pid"
0x113198dc    "switchd (%d) is already running, aborting.\n"
0x11319990    "%s %s:%d CRIT No license to run switchd!\n"
0x113199e8    "%s %s:%d switchd version %s\n"
0x11319a08    "%s %s:%d switchd cmdline:"
0x11319a34    "%s %s:%d CRIT Switchd fs init failed.\n"
0x11319a5c    "/version"
0x11319a8c    "%s %s:%d CRIT Switchd config failed.\n"
0x11319bb4    "%s %s:%d switchd starting after internal error %d\n"
0x11319bf0    "/cumulus/switchd"
0x11319c04    "%s %s:%d CRIT Switchd fs mount failed.\n"
0x1131a270    "/etc/cumulus/switchd.conf"
0x1131ab9c    "Miscellaneous switchd diag info"
0x1131b51c    "/etc/cumulus/switchd.conf"
0x1131bab4    "rtnl_route_get_table(route) == route_table_num || rtnl_route_get_table(route) == RT_TABLE_LOCAL"
0x1131dffc    "%s %s:%d CRIT TX Ring allocation failed: %s\n"
0x1131f074    "    IP Version not supported.\n"
0x1131f94c    "%s %s:%d Conversion of ip6table rules failed, ret_code:%d \n"
0x1131f988    "%s %s:%d Conversion of iptable rules failed, ret_code:%d \n"
0x1131f9c4    "%s %s:%d Conversion of ebtable rules failed, ret_code:%d \n"
0x11322c88    "/etc/cumulus/datapath/traffic.conf"
0x11323584    "switchd"
0x11323ecc    "bcm_startup_complete"
0x1132449c    "%s %s:%d CRIT bcm_l3_ip4_options_profile_create failed: %s\n"
0x113244d8    "%s %s:%d CRIT bcm_l3_info failed: %s\n"
0x113245b8    "%s %s:%d CRIT bcm_l3_route_max_ecmp_set failed: %s\n"
0x113245ec    "%s %s:%d CRIT bcm_trunk_init failed: %s\n"
0x11324618    "%s %s:%d CRIT bcm_trunk_chip_info_get failed: %s\n"
0x1132464c    "%s %s:%d CRIT hal_bcm_stat_init failed\n"
0x113246a8    "%s %s:%d CRIT hal_bcm_vlan_alloc failed for %d: %s\n"
0x113246dc    "%s %s:%d CRIT bcm_port_learn_set failed for %d: %s\n"
0x11324794    "%s %s:%d CRIT bcm_port_pause_set failed for %d: %s\n"
0x113247c8    "%s %s:%d CRIT bcm_port_l3_enable_set failed for %d: %s\n"
0x11324800    "%s %s:%d CRIT bcm_port_vlan_member_set failed: %s\n"
0x11324834    "%s %s:%d CRIT bcm_port_control_set failed: %s\n"
0x11324864    "%s %s:%d CRIT bcm_vlan_control_port_set failed:%s\n"
0x113248c0    "%s %s:%d CRIT bcm_tx_init failed: %s\n"
0x113248e8    "%s %s:%d CRIT bcm_rx_start failed: %s\n"
0x11324910    "switchd_rx"
0x1132491c    "%s %s:%d CRIT bcm_rx_register failed: %s\n"
0x11324948    "%s %s:%d CRIT bcm_rx_control_set of VTAG_STRIP failed: %s\n"
0x11324984    "%s %s:%d CRIT bcm_rx_control_set of CRC_STRIP failed: %s\n"
0x113249c0    "%s %s:%d CRIT bcm_rx_cosq_mapping_set failed: %s\n"
0x11324ce0    "%s %s:%d CRIT bcm_port_pause_addr_get failed: %s\n"
0x11324d14    "%s %s:%d CRIT bcm_port_frame_max_get failed: %s\n"
0x11324d48    "%s %s:%d CRIT bcm_port_enable_get failed: %s\n"
0x11324d78    "%s %s:%d CRIT bcm_port_status_get failed: %s\n"
0x11324da8    "%s %s:%d CRIT bcm_rate_bcast_get failed: %s\n"
0x11324dd8    "%s %s:%d CRIT bcm_rate_mcast_get failed: %s\n"
0x11324e08    "%s %s:%d CRIT bcm_rate_dlfbc_get failed: %s\n"
0x113252d8    "%s %s:%d CRIT bcm_stat_multi_get failed: %s\n"
0x11325378    "%s %s:%d CRIT Unable to retrieve SOC_COUNTER_NON_DMA_PORT_DROP_PKT_ING counter : %s\n"
0x113254b8    "%s %s:%d CRIT Unable to retrieve RXPF counter : %s\n"
0x113254ec    "%s %s:%d CRIT Unable to retrieve TXPF counter : %s\n"
0x11325ad0    "%s %s:%d CRIT hal_bcm_add_brmac failed.\n"
0x11325b6c    "%s %s:%d CRIT bcm_l3_intf_create failed: %s\n"
0x11325c50    "%s %s:%d CRIT bcm_port_pause_addr_set failed for %d: %s\n"
0x11325c8c    "%s %s:%d CRIT bcm_port_frame_max_set failed for %d: %s\n"
0x11325cc4    "%s %s:%d CRIT bcm_port_control_set failed for %d: %s\n"
0x11325cfc    "%s %s:%d CRIT bcm_port_l3_mtu_set failed for %d: %s\n"
0x11325da8    "%s %s:%d CRIT bcm_rate_bcast_set failed: %s\n"
0x11325dd8    "%s %s:%d CRIT bcm_rate_mcast_set failed: %s\n"
0x11325e08    "%s %s:%d CRIT bcm_rate_dlfbc_set failed: %s\n"
0x11325e64    "bcm_pkt->blk_count == 1"
0x11325e7c    "bcm_pkt->pkt_data->len == length"
0x11325efc    "%s %s:%d early send bcm_pkt_list with %lu\n"
0x11325f28    "%s %s:%d ERR bcm_tx failed: %s\n"
0x11325fc0    "nh->if_key.u.port.port != HAL_SWITCH_PORT_CPU"
0x11325ff0    "%s %s:%d CRIT bcm_l3_egress_multipath_get failed: %s\n"
0x11326028    "%s %s:%d CRIT bcm_l3_egress_get failed: %s\n"
0x113260f4    "%s %s:%d CRIT bcm_l3_host_traverse (v4) failed: %s\n"
0x11326128    "%s %s:%d CRIT bcm_l3_host_traverse (v6) failed: %s\n"
0x1132615c    "%s %s:%d CRIT bcm_l3_route_traverse (v4) failed: %s\n"
0x113261cc    "%s %s:%d CRIT bcm_l3_route_traverse (v6) failed: %s\n"
0x11326324    "%s %s:%d CRIT bcm_l3_egress_create failed: %s\n"
0x1132639c    "%s %s:%d CRIT bcm_l3_egress_find failed: %s\n"
0x113263cc    "%s %s:%d CRIT bcm_l3_egress_destroy failed: %s\n"
0x11326494    "%s %s:%d CRIT bcm_l3_egress_multipath_max_create failed: %s\n"
0x11326530    "%s %s:%d CRIT bcm_l3_egress_multipath_destroy failed: %s\n"
0x113265b0    "%s %s:%d CRIT bcm_l3_host_find %x failed: %s\n"
0x113265e0    "%s %s:%d CRIT bcm_l3_host_add failed for hal route %s: %s\n"
0x11326660    "%s %s:%d CRIT bcm_l3_route_get failed for hal route %s: %s\n"
0x1132669c    "%s %s:%d CRIT bcm_l3_route_add failed for hal route %s: %s\n"
0x11326710    "%s %s:%d CRIT bcm_l3_host_delete for HAL route %s failed: %s\n"
0x11326788    "%s %s:%d CRIT bcm_l3_route_delete hal route %s failed: %s\n"
0x11326870    "%s %s:%d CRIT bcm_l2_traverse failed: %s\n"
0x11326984    "%s %s:%d CRIT bcm_l2_addr_add failed %s\n"
0x113269b0    "%s %s:%d bcm_l2_addr_delete: %s\n"
0x113269d4    "%s %s:%d bcm_l2_addr_delete for %s: %s\n"
0x113269fc    "%s %s:%d hal_bcm_del_brmacs_by_vlan_port: %s, bridge vlan: %d %s\n"
0x11327048    "%s %s:%d hal_bcm_get_bridges\n"
0x11327090    "%s %s:%d CRIT bcm_trunk_create failed: %s\n"
0x113270d0    "%s %s:%d CRIT bcm_trunk_psc_set failed: %s\n"
0x113270fc    "%s %s:%d CRIT hal_bcm_vlan_alloc failed for bond id %d\n"
0x113271dc    "%s %s:%d CRIT bcm_port_class_set failed: %s\n"
0x1132720c    "%s %s:%d bcm_l2_addr_delete_by_trunk failed: %s\n"
0x11327240    "%s %s:%d CRIT bcm_trunk_destroy failed: %s\n"
0x113272fc    "%s %s:%d CRIT bcm_trunk_set failed: %s\n"
0x11327378    "%s %s:%d hal_bcm_bond_delete_port - trunk is empty already\n"
0x113273b4    "%s %s:%d CRIT hal_bcm_bond_delete_port failed, can't find port %d\n"
0x113273f8    "%s %s:%d CRIT bcm_trunk_member_delete failed: %s\n"
0x11327458    "%s %s:%d CRIT hal_bcm_bond_update_port %d failed, can't find port %d\n"
