# Packet DMA / DCB / HiGig related strings

  "%s %s:%d CRIT bcm_tx_init failed: %s\n"                @ 1132349c  in FUN_10051be0
  "%s %s:%d CRIT bcm_rx_start failed: %s\n"               @ 113234c4  in FUN_10051be0
  "%s %s:%d CRIT bcm_rx_register failed: %s\n"            @ 113234f8  in FUN_10051be0
  "%s %s:%d CRIT bcm_rx_control_set of VTAG_STRIP failed: @ 11323524  in FUN_10051be0
  "%s %s:%d CRIT bcm_rx_control_set of CRC_STRIP failed:  @ 11323560  in FUN_10051be0
  "%s %s:%d CRIT bcm_rx_cosq_mapping_set failed: %s\n"    @ 1132359c  in FUN_10051be0
  "%s %s:%d CRIT bcm_rx_cosq_mapping_set failed: %s\n"    @ 1132359c  in FUN_10051be0
  "%s %s:%d CRIT bcm_rx_cosq_mapping_set failed: %s\n"    @ 1132359c  in FUN_10051be0
  "%s %s:%d CRIT bcm_rx_cos_rate_set failed: %s\n"        @ 11327490  in FUN_1006f798
  "%s %s:%d CRIT bcm_rx_cos_burst_set failed: %s\n"       @ 113274c0  in FUN_1006f798
  "HiGig"                                                 @ 1132d240  in ?
  "HiGigProxy"                                            @ 1132d248  in ?
  "DstHiGig"                                              @ 1132d254  in ?
  "EthernetOamTxPktUPMEP"                                 @ 1132e558  in ?
  "HiGigClassSelect"                                      @ 1132fdf0  in ?
  "DestPortHGTrunk"                                       @ 11331028  in ?
  "HashHG2UnknownField0"                                  @ 11331344  in ?
  "HashHG2UnknownField1"                                  @ 1133135c  in ?
  "EncapHiGigError"                                       @ 11336434  in ?
  "EncapHiGigError"                                       @ 1133fa8c  in ?
  "rcpu_only"                                             @ 1134593c  in FUN_100ec17c
  "rcpu_only"                                             @ 1134593c  in FUN_100ec17c
  "         HiGig IPIC pause rx"                          @ 11352aa0  in ?
  "         HiGig End-to-End HOL rx packets"              @ 11352ac8  in ?
  "         HiGig End-to-End IBP rx packets"              @ 11352afc  in ?
  "       Unknown HiGig header type packet"               @ 11352b5c  in ?
  "       HiGig mirror packet"                            @ 11352bb8  in ?
  "RHGUC"                                                 @ 11352cf0  in ?
  "         Rx HiGig lookup UC cases"                     @ 11352cf8  in ?
  "RHGMC"                                                 @ 11352d1c  in ?
  "         Rx HiGig lookup MC cases"                     @ 11352d24  in ?
  "HGHDRE"                                                @ 11352e00  in ?
  "THGUC"                                                 @ 11353480  in ?
  "THGMC"                                                 @ 113534ac  in ?
  "       Unknown HiGig2 Drop"                            @ 113534e0  in ?
  "          Unknown HiGig drop"                          @ 11353504  in ?
  "dma_dcb_count"                                         @ 11353f0c  in FUN_1012fa28
  "dma_dcb_count"                                         @ 11353f0c  in FUN_1012fbf8
  "dma_dcb_laddr"                                         @ 11353f2c  in FUN_1012fbf8
  "dma_dcb_size"                                          @ 11353f3c  in FUN_1012fbf8
  "Failed to allocate a DMA Vector (DV) with %d DCBs\n"   @ 1135423c  in FUN_10130b18
  "Allocated DMA Vector (DV) at %p. %d DCBs (start %p, %d @ 11354270  in FUN_10130b18
  "DCB type is not specified.\n"                          @ 113542b0  in FUN_10130d54
  "Incorrect DCB type <%s>. [r|t] expected.\n"            @ 113542cc  in FUN_10130d54
  "Cannot get DCB address\n"                              @ 113542f8  in FUN_10130d54
  "Dumping DCB at address %p:\n"                          @ 11354310  in FUN_10130d54
  "Added DCB to RX DV. %d DCB remaining\n"                @ 1135437c  in FUN_10130fe0
  "%s: bcm_rx_register failed: %s\n"                      @ 113550ac  in FUN_10135e2c
  "%s: bcm_rx_unregister failed: %s\n"                    @ 113550d4  in FUN_10135e2c
  "New HG header Classification Tag Value"                @ 11357c40  in FUN_10140cb0
  "HiGig=1, non-HiGig=0"                                  @ 11358510  in FUN_101418b8
  "HiGig=1, non-HiGig=0"                                  @ 11358510  in FUN_101418b8
  "DstHiGig"                                              @ 11359bd0  in FUN_10145c7c
  "%s: bcm_rx_register failed: %s\n"                      @ 113651d0  in FUN_101912f4
  "%s: bcm_rx_unregister failed: %s\n"                    @ 11365260  in FUN_101912f4
  "     HG   ==> %s\n"                                    @ 11367ae8  in FUN_10198738
  "     HG   ==> %s\n"                                    @ 11367ae8  in FUN_10199444
  "     HG   ==> %s\n"                                    @ 11367ae8  in FUN_10197f38
  "     HG2  ==> %s\n"                                    @ 11367d68  in FUN_10199444
  "DestPortHGTrunk"                                       @ 11369bfc  in ?
  "HashHG2UnknownField0"                                  @ 11369f18  in ?
  "HashHG2UnknownField1"                                  @ 11369f30  in ?
  "HGDestMod"                                             @ 1136e3e4  in FUN_101a4604
  "Warning:  Unknown HG header format: %d\n"              @ 1136e7b4  in FUN_101a6a84
  "ERROR:  bcm_rx_init(%d) returns %d: %s\n"              @ 1136ea50  in FUN_101a8400
  "soc_dma_rom_init() returned %d: %s\n"                  @ 1136eaec  in FUN_101a8794
  "soc_dma_rom_detach() returnd %d: %s\n"                 @ 1136eb18  in FUN_101a8794
  "soc_dma_rom_rx_poll() returned %d: %s\n"               @ 1136eb44  in FUN_101a8794
