register,block,description,fields,scope_count,sample_value,ported_by_us,importance_guess,address
ALTERNATE_EMIRROR_BITMAP_PARITY_CONTROL,IPIPE,"Parity Control for ALTERNATE_EMIRROR_BITMAP table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the ALTERNATE_EMIRROR_BITMAP table.,1,0x00000001,no,low (parity init),0x0f180d34
ARB_EOP_DEBUG,IPIPE,Forces accesses to stages to be eop resource,ICFG             Forces all registers in stage to be eop resource when set; IPARS            Forces all registers in stage to be eop resource when set; IDISC            Forces all registers in stage to be eop resource when set; IVXLT            Forces all registers in stage to be eop resource when set; IMPLS            Forces all registers in stage to be eop resource when set; IL2LU_1          Forces all registers in stage to be eop resource when set; IL2LU_2          Forces all registers in stage to be eop resource when set; IL2LU_3          Forces all registers in stage to be eop resource when set; IL3LU            Forces all registers in stage to be eop resource when set; ILPM             Forces all registers in stage to be eop resource when set; IRSEL1           Forces all registers in stage to be eop resource when set; ISW1             Forces all registers in stage to be eop resource when set; IFP              Forces all registers in stage to be eop resource when set; IRSEL2           Forces all registers in stage to be eop resource when set; IDLB             Forces all registers in stage to be eop resource when set; ISW2             Forces all registers in stage to be eop resource when set,1,0x00020000,no,unknown,0x0018070c
ASF_PORT_SPEED,MMU,ASF_PORT_SPEED,"ASF_PORT_SPEED   port_speed: port speed (for ASF check) for port X0  = (do not participate in ASF)2  = 10Mbps-half-duplex, 3  = 10Mbps-full-duplex, 4  = 100Mbps-half-duplex, 5  = 100Mbps-full-duplex,6  = 1Gbps-half-duplex, 7  = 1Gbps-full-duplex, 8  = 2.5Gbps-half-duplex, 9  = 2.5Gbps-full-duplex,12 = 10Gbps (full duplex), 13 = 12Gbps (full duplex), 14 = 13Gbps (full duplex), 15 = 15Gbps (full duplex)16 = 16Gbps (full duplex)18 = 20Gbps (full duplex)20 = 24Gbps (full duplex)24 = 30Gbps (full duplex)28 = 40Gbps (full duplex)[any values are valid as long as they go from slowest to fastest and are relative to the other ports]",2,0x0000000c,no,medium (MMU),0x03300000
AUX_ARB_CONTROL,IPIPE,IP auxilary arbiter control register for L2 table,L2_MOD_FIFO_ENABLE_MEMWR Enable L2_MOD_FIFO recording for MEMWR.; L2_MOD_FIFO_ENABLE_LEARN Enable L2_MOD_FIFO recording for LEARN.; RESERVED_0       RESERVED; L2_MOD_FIFO_ENABLE_L2_INSERT Enable L2_MOD_FIFO recording for L2_INSERT.; L2_MOD_FIFO_ENABLE_AGE Enable L2_MOD_FIFO recording for AGE.; RESERVED_1       RESERVED; L2_MOD_FIFO_ENABLE_L2_DELETE Enable L2_MOD_FIFO recording for L2_DELETE.,1,0x00000012,yes,HIGH (data path),0x00180700
AUX_ARB_CONTROL_2,IPIPE,"Broadcast Block Mask, FeatureSpecific-Ethernet.",CLK_GRAN         clock granularity for ages (speed up for simulation use only); RESERVED_AUX_ARB_CONTROL_2 Reserved; SBUS_SPACING     specifies minimum spacing between sbus ops; SBUS_ARB_BLOCK_CNT specifies cycles hi-priority sbus arb slot is blocked out after every s-bus trans; FP_REFRESH_ENABLE 1 - Iarb will send out fp_refresh_ticks for IFP meters; FP_REFRESH_MODE  This field selects how many fp_refresh op Iarb sends every 7.8125us. 0 = 128 fp_refreshes; 1 = 64 fp_refreshes; 2 = 32 fp_refreshes; 3 = Reserved; DLB_HGT_REFRESH_ENABLE 1 - Iarb will send out dlb_hgt_refresh_tick for DLB_HGT refresh; DLB_HGT_256NS_REFRESH_ENABLE 1 - Iarb will send out dlb_hgt_256ns_refresh_tick for DLB_HGT refresh; BLK_BITMAP       Bitmap of ports to be blocked.; BLK_BITMAP_W0    Overlay bitmap for ports 31:0.; BLK_BITMAP_W1    Overlay bitmap for ports 63:32.; BLK_BITMAP_W2    Overlay bitmap for ports 65:64.; EVEN_PARITY      Even parity.,1,0x0327f863,no,HIGH (data path),0x00180701
BCAST_BLOCK_MASK_PARITY_CONTROL,IPIPE,"Parity Control for BCAST_BLOCK_MASK table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the BCAST_BLOCK_MASK table.,1,0x00000001,no,low (parity init),0x0f180d5e
BUFFER_CELL_LIMIT_SP,MMU,BUFFER_CELL_LIMIT per Service Pool,LIMIT            The combined limit for cell usage by all ports for this service pool.,2,0x00000566,yes,HIGH (data path),0x0238010a
BUFFER_CELL_LIMIT_SP_SHARED,MMU,BUFFER_CELL_LIMIT for shared Service Pool,LIMIT            The combined limit for cell usage by all ports for this service pool.,1,0x000058d6,yes,HIGH (data path),0x0238010e
CBL_ATTRIBUTE,IPIPE,"Class based station movement attribute register, index from PORT_CBL_TABLE.",ALLOW_MOVE_IN_CLASS Allow station movement within the class.; PORT_LEARNING_PRIORITY Port learning priority.,4,0x00000001,no,unknown,0x0b180602
CELL_RESET_LIMIT_OFFSET_SP,MMU,CELL_RESET_LIMIT_OFFSET per Service Pool,OFFSET           The reset limit offset for this service pool.,2,0x00000064,yes,medium (MMU),0x02380114
