# BAR0 Diff: before/after L2 table ops
# Changed: 480 registers

Offset     Before       After        XOR         
--------------------------------------------------
0x00000    0x20500600   0x38500000   0x18000600
0x00004    0x00000000   0x40a0060c   0x40a0060c
0x00010    0x04007f40   0x00000001   0x04007f41
0x00014    0x00000000   0x00000060   0x00000060
0x00028    0x13003fa0   0xffffffff   0xecffc05f
0x0002c    0x00010000   0xffffffff   0xfffeffff
0x00090    0xb18002c8   0xb14002c8   0x00c00000
0x00094    0xb28002ce   0xb28002cc   0x00000002
0x00114    0x045e1058   0x045e10d8   0x00000080
0x00410    0x00000003   0x00000000   0x00000003
0x00424    0x0d12a000   0x0a240200   0x0736a200
0x00434    0x0d12a000   0x0a240200   0x0736a200
0x00800    0x20500600   0x38500000   0x18000600
0x00804    0x00000000   0x40a0060c   0x40a0060c
0x00810    0x04007f40   0x00000001   0x04007f41
0x00814    0x00000000   0x00000060   0x00000060
0x00828    0x13003fa0   0xffffffff   0xecffc05f
0x0082c    0x00010000   0xffffffff   0xfffeffff
0x0095c    0xb14002c8   0xb14002c6   0x0000000e
0x00964    0xb24002cc   0xb20002ca   0x00400006
0x00968    0xb10002c6   0xb0c002c6   0x01c00000
0x00d64    0x0404a7f8   0x0404a810   0x00000fe8
0x00d68    0x0404a7f8   0x0404a810   0x00000fe8
0x00e40    0xb14002c6   0xb10002c6   0x00400000
0x017c0    0x00000003   0x00000002   0x00000001
0x017c4    0x00000001   0x00000000   0x00000001
0x01fc0    0x00000003   0x00000002   0x00000001
0x01fc4    0x00000001   0x00000000   0x00000001
0x027c0    0x00000003   0x00000002   0x00000001
0x027c4    0x00000001   0x00000000   0x00000001
0x02fc0    0x00000003   0x00000002   0x00000001
0x02fc4    0x00000001   0x00000000   0x00000001
0x04000    0x20500600   0x38500000   0x18000600
0x04004    0x00000000   0x40a0060c   0x40a0060c
0x04010    0x04007f40   0x00000001   0x04007f41
0x04014    0x00000000   0x00000060   0x00000060
0x04028    0x13003fa0   0xffffffff   0xecffc05f
0x0402c    0x00010000   0xffffffff   0xfffeffff
0x04090    0xb18002c8   0xb14002c8   0x00c00000
0x04094    0xb28002ce   0xb28002cd   0x00000003
0x04114    0x045e1058   0x045e10d8   0x00000080
0x04410    0x00000003   0x00000000   0x00000003
0x04424    0x0d12a400   0x0a240200   0x0736a600
0x04434    0x0d12a400   0x0a240200   0x0736a600
0x04800    0x20500600   0x38500000   0x18000600
0x04804    0x00000000   0x40a0060c   0x40a0060c
0x04810    0x04007f40   0x00000001   0x04007f41
0x04814    0x00000000   0x00000060   0x00000060
0x04828    0x13003fa0   0xffffffff   0xecffc05f
0x0482c    0x00010000   0xffffffff   0xfffeffff
0x0495c    0xb14002c8   0xb14002c6   0x0000000e
0x04960    0xb14002c7   0xb14002c6   0x00000001
0x04964    0xb24002cb   0xb20002ca   0x00400001
0x04968    0xb10002c6   0xb0c002c5   0x01c00003
0x04d64    0x0404a7f8   0x0404a810   0x00000fe8
0x04d68    0x0404a7f8   0x0404a810   0x00000fe8
0x04e40    0xb14002c6   0xb10002c6   0x00400000
0x057c0    0x00000003   0x00000002   0x00000001
0x057c4    0x00000001   0x00000000   0x00000001
0x05fc0    0x00000003   0x00000002   0x00000001
0x05fc4    0x00000001   0x00000000   0x00000001
0x067c0    0x00000003   0x00000002   0x00000001
0x067c4    0x00000001   0x00000000   0x00000001
0x06fc0    0x00000003   0x00000002   0x00000001
0x06fc4    0x00000001   0x00000000   0x00000001
0x08000    0x20500600   0x38500000   0x18000600
0x08004    0x00000000   0x40a0060c   0x40a0060c
0x08010    0x04007f40   0x00000001   0x04007f41
0x08014    0x00000000   0x00000060   0x00000060
0x08028    0x13003fa0   0xffffffff   0xecffc05f
0x0802c    0x00010000   0xffffffff   0xfffeffff
0x08090    0xb18002c8   0xb14002c8   0x00c00000
0x08094    0xb28002cc   0xb28002cd   0x00000001
0x08114    0x045e1058   0x045e10d8   0x00000080
0x08410    0x00000003   0x00000000   0x00000003
0x08424    0x0d12a600   0x0a240200   0x0736a400
