[Thread debugging using libthread_db enabled]
Using host libthread_db library "/lib/powerpc-linux-gnu/libthread_db.so.1".
[New Thread 0x4dd8a060 (LWP 1762)]
[New Thread 0x4c86a060 (LWP 1761)]
[New Thread 0x4c846060 (LWP 1759)]
[New Thread 0x4c7c1060 (LWP 1757)]
[New Thread 0x4c79d060 (LWP 1756)]
[New Thread 0x4c779060 (LWP 1755)]
[New Thread 0x4d3e7060 (LWP 1753)]
[New Thread 0x4d3c3060 (LWP 1744)]
[New Thread 0x4c755000 (LWP 1742)]
[New Thread 0x4c1ae060 (LWP 1741)]
[New Thread 0x4c08e060 (LWP 1736)]
0x0fca81a8 in select () from /lib/powerpc-linux-gnu/libc.so.6
Hardware access (read/write) watchpoint 1: *(unsigned int*)0x4802b4a0
[Switching to Thread 0x4c846060 (LWP 1759)]
MIIM: bus=2 phy=17 reg=0x1f RD=0x0000
MIIM: bus=2 phy=17 reg=0x1e WR=0xffd0
MIIM: bus=2 phy=17 reg=0x1f WR=0x1800
MIIM: bus=2 phy=17 reg=0x01 RD=0x0000
MIIM: bus=2 phy=17 reg=0x1f RD=0x0000
MIIM: bus=2 phy=17 reg=0x1e WR=0xffd0
MIIM: bus=2 phy=17 reg=0x1f RD=0x0000
MIIM: bus=2 phy=17 reg=0x1f RD=0x0000
MIIM: bus=2 phy=17 reg=0x15 WR=0x8340
MIIM: bus=2 phy=17 reg=0x1f RD=0x0000
MIIM: bus=2 phy=17 reg=0x15 WR=0x8340
MIIM: bus=2 phy=17 reg=0x1f RD=0x0000
MIIM: bus=2 phy=17 reg=0x10 WR=0x80b0
MIIM: bus=2 phy=17 reg=0x1f RD=0x0000
MIIM: bus=2 phy=17 reg=0x12 WR=0x81d0
MIIM: bus=2 phy=17 reg=0x1f RD=0x0000
MIIM: bus=2 phy=17 reg=0x10 WR=0x81d0
MIIM: bus=2 phy=17 reg=0x1f RD=0x0000
MIIM: bus=2 phy=17 reg=0x1e WR=0xffd0
MIIM: bus=2 phy=17 reg=0x1f WR=0x1800
MIIM: bus=2 phy=17 reg=0x01 RD=0x0000
